Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;1;2680;96;MCS2_4;0;1;3867.8;2328.7;4946
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate96Nsta10DataModeMCS2_8;10;4;1;2680;96;MCS2_8;0;1;4141.8;3004.8;6630.1
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate96Nsta15DataModeMCS2_8;15;4;1;2680;96;MCS2_8;0;1;4638.6;2985.53333333333;5305.2
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate96Nsta5DataModeMCS2_4;5;4;1;2680;96;MCS2_4;0;1;3072.8;2575;7785.6
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate96Nsta5DataModeMCS2_8;5;4;1;2680;96;MCS2_8;0;1;2620.8;2604.2;8770.4
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate128Nsta10DataModeMCS2_4;10;4;1;3216;128;MCS2_4;0;1;4096.9;2221.3;4605.1
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate128Nsta10DataModeMCS2_8;10;4;1;3216;128;MCS2_8;0;1;4394.4;2877.1;6284
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate128Nsta15DataModeMCS2_8;15;4;1;3216;128;MCS2_8;0;1;4662.26666666667;2675.66666666667;4806.26666666667
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate128Nsta5DataModeMCS2_4;5;4;1;3216;128;MCS2_4;0;1;3397.2;2447.4;7174.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate128Nsta5DataModeMCS2_8;5;4;1;3216;128;MCS2_8;0;1;3242.4;3137.6;10085.4
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate16Nsta10DataModeMCS2_4;10;4;1;3216;16;MCS2_4;0;1;626.8;621.8;1630.5
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate16Nsta10DataModeMCS2_8;10;4;1;3216;16;MCS2_8;0;1;553.7;553.6;1554.7
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate16Nsta15DataModeMCS2_4;15;4;1;3216;16;MCS2_4;0;1;869.666666666667;863.8;1875.06666666667
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate16Nsta15DataModeMCS2_8;15;4;1;3216;16;MCS2_8;0;1;770.666666666667;766.2;1777.26666666667
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate16Nsta5DataModeMCS2_4;5;4;1;3216;16;MCS2_4;0;1;447;447;1448
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate16Nsta5DataModeMCS2_8;5;4;1;3216;16;MCS2_8;0;1;452.6;452.6;1453.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta10DataModeMCS2_4;10;4;1;3216;2;MCS2_4;0;1;75.3;75.2;200.8
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta15DataModeMCS2_4;15;4;1;3216;2;MCS2_4;0;1;105.133333333333;104.733333333333;231.333333333333
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta15DataModeMCS2_8;15;4;1;3216;2;MCS2_8;0;1;94.2666666666667;93.6666666666667;219.4
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_4;5;4;1;3216;2;MCS2_4;0;1;54.2;54.2;179.2
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate2Nsta5DataModeMCS2_8;5;4;1;3216;2;MCS2_8;0;1;56;56;181
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate32Nsta10DataModeMCS2_4;10;4;1;3216;32;MCS2_4;0;1;1422.9;1398.7;3419
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate32Nsta10DataModeMCS2_8;10;4;1;3216;32;MCS2_8;0;1;1170.6;1164.6;3173.7
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate32Nsta15DataModeMCS2_4;15;4;1;3216;32;MCS2_4;0;1;2293.2;2121.86666666667;3692.8
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate32Nsta15DataModeMCS2_8;15;4;1;3216;32;MCS2_8;0;1;1841.8;1805.33333333333;3838.06666666667
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate32Nsta5DataModeMCS2_4;5;4;1;3216;32;MCS2_4;0;1;940.8;938.4;2944.6
