Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;DropTCPTxBufferExceeded
NGroup2NRawSlotNum5TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;5;2144;64;MCS2_4;0;1;3397.5;3114.2;9678;0;172;0
NGroup4NRawSlotNum5TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;5;2144;64;MCS2_4;0;1;4470;2666.1;6729.7;9.5;24723.9;796.4
NGroup8NRawSlotNum5TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;5;2144;64;MCS2_4;5.5;1;3259.8;1357.2;3438.4;10.2;49423;1386.6
NGroup1NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;1;2680;64;MCS2_4;0;1;8694.8;8680.3;16812.4;9.5;166.9;0
NGroup2NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;1;2680;64;MCS2_4;0;1;5493;5457.6;13683.8;0;237.2;0
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;1;2680;64;MCS2_4;0;1;5489;4481.4;9557;0;24986.5;879.5
NGroup8NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;1;2680;64;MCS2_4;14.1;1;3770.5;2288.9;4865.2;7.6;55489;1422.2
NGroup1NRawSlotNum2TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;2;2680;64;MCS2_4;0;1;4104.9;4065.1;12180.1;3.2;145.4;0
NGroup2NRawSlotNum2TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;2;2680;64;MCS2_4;0;1;4215.3;4146.5;12343.1;0;224;0
NGroup4NRawSlotNum2TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;2;2680;64;MCS2_4;0;1;4564.3;3493.7;9050;0;24274.4;752.4
NGroup8NRawSlotNum2TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;2;2680;64;MCS2_4;5;1;3312.8;1783.7;4575.2;2.8;49010;1368.2
NGroup1NRawSlotNum5TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;5;2680;64;MCS2_4;0;1;3092.3;3091.6;11218.1;0;170.3;0
NGroup2NRawSlotNum5TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;5;2680;64;MCS2_4;0;1;3587.2;3300.4;11484.1;0;250.8;0
NGroup4NRawSlotNum5TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;5;2680;64;MCS2_4;0;1;4353.5;2670.2;7385.4;0;28404.5;927.9
NGroup8NRawSlotNum5TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;5;2680;64;MCS2_4;17.7;1;3199.9;1357.3;3664.7;9.3;59273;1478.2
NGroup1NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;1;3216;64;MCS2_4;0;1;8606.6;8591.8;16724.8;8.3;172;0
NGroup2NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;1;3216;64;MCS2_4;0;1;5522.5;5487.8;13702.6;0;247;0
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;1;3216;64;MCS2_4;0;1;5385.8;4437.4;9387.9;0;24987.2;830.8
NGroup8NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;1;3216;64;MCS2_4;10.4;1;3652.3;2215.5;4607.3;7;50892.7;1379.1
NGroup1NRawSlotNum2TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;2;3216;64;MCS2_4;0;1;4154.3;4113.2;12227.7;1.6;150.8;0
NGroup2NRawSlotNum2TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;2;3216;64;MCS2_4;0;1;4194;4128;12302.1;0;235.3;0
NGroup4NRawSlotNum2TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;2;3216;64;MCS2_4;0;1;4504.6;3459.7;8785.2;0;23648.6;718.8
NGroup8NRawSlotNum2TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;2;3216;64;MCS2_4;0.9;1;3212.1;1724.6;4294.6;0.6;45885.8;1329.2
NGroup1NRawSlotNum5TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;5;3216;64;MCS2_4;0;1;3080.6;3080.3;11212.2;0;171.6;0
NGroup2NRawSlotNum5TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;5;3216;64;MCS2_4;0;1;3513.5;3248;11398.4;0;251.8;0
NGroup4NRawSlotNum5TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;5;3216;64;MCS2_4;0;1;4195.6;2647.5;7270.1;0;26490.7;847.1
NGroup8NRawSlotNum5TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;5;3216;64;MCS2_4;9.8;1;3081.4;1320.2;3519.1;6.4;53230.6;1412.6
NGroup1NRawSlotNum1TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;1;536;96;MCS2_4;0;1;19073.7;17925.1;50171.3;430.9;6323.1;347.3
NGroup2NRawSlotNum1TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;1;536;96;MCS2_4;0;1;13325.4;11307.4;27079.7;0;13343.2;1609.9
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;1;536;96;MCS2_4;0;1;8199.6;5680.3;13693.3;0;27153;2308.9
NGroup8NRawSlotNum1TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;1;536;96;MCS2_4;22.7;1;5658.7;2897.8;6973.8;22.7;55001.5;2654.7
NGroup1NRawSlotNum2TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;2;536;96;MCS2_4;0;1;16836.6;15734.9;52011.4;68.2;2236.3;33.3
NGroup2NRawSlotNum2TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;2;536;96;MCS2_4;0;1;11215.9;8940;27644.8;0;20401.3;1462.3
NGroup4NRawSlotNum2TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;2;536;96;MCS2_4;0;1;7251.8;4544.4;14150.1;0;35547.8;2254.9
NGroup8NRawSlotNum2TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;2;536;96;MCS2_4;60.5;1;5129.4;2276.8;7140.8;60.5;70237.9;2624.7
