Name;SensorMeasurementSize;NSta;NGroup;NRawSlotNum;TrafficInterval;APAlwaysSchedulesForNextSlot;ContentionPerRAWSlot;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;DropTCPTxBufferExceeded;TotalDozeTime;NumberOfTCPRetransmissions;NumberOfTCPRetransmissionsFromAP;NumberOfAPScheduledPacketForNodeInNextSlot
SensorMeasurementSize154NGroup8NRawSlotNum5ContentionPerRAWSlot114TrafficInterval50000;154;575;8;5;50000;0;114;4.97913043478261,1,6,8,0,13;0.850434782608696,1,1,1,0,1;541.048695652174,252,612,788,23,1035;536.271304347826,241,605,783.5,23,1035;572.606956521739,286,641,813.5,67,1046;1.10782608695652,0,1,2,-2,7;42169.532173913,10864,32483,61585,650,261504;0,0,0,0,0,0;946957.568695652,942669,944677,949552,938315,961892;4.37913043478261,1,5,7,0,12;0,0,0,0,0,0;13.0365217391304,11,13,18,2,22
SensorMeasurementSize54NGroup1NRawSlotNum10ContentionPerRAWSlot104TrafficInterval50000;54;1050;1;10;50000;0;104;0,0,0,0,0,0;0,0,0,0,0,0;3.83333333333333,2,3,5,0,28;3.68285714285714,2,3,5,0,14;6.03428571428571,4,5,7,2,20;-6;0,0,0,0,0,0;0,0,0,0,0,0;894607.163809524,892399,895263,897850,215,900807;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0
SensorMeasurementSize54NGroup12NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;54;250;12;2;50000;0;124;0.008,0,0,0,0,1;1,1,1,1,1,1;18.816,16,21,23,0,31;18.628,16,21,23,0,31;63.552,60,64,69,41,80;0.012,0,0,0,0,1;587.272,563.25,586.5,608.75,497,685;0,0,0,0,0,0;949093.896,945358,948880.5,952953.25,943773,954218;0,0,0,0,0,0;0,0,0,0,0,0;17.916,18,18,18,17,19
SensorMeasurementSize154NGroup8NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;154;250;8;2;50000;0;124;0.008,0,0,0,0,1;1,1,1,1,1,1;16.368,12.25,19,21,1,32;16.152,12.25,19,21,1,27;60.848,56,62,66,43,81;0.012,0,0,0,0,1;372.096,291.5,364,446,210,568;0,0,0,0,0,0;926933.968,921559,926749.5,932459.75,919629,933758;0,0,0,0,0,0;0,0,0,0,0,0;17.888,18,18,18,17,19
SensorMeasurementSize154NGroup12NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;154;250;12;2;50000;0;124;0.008,0,0,0,0,1;1,1,1,1,1,1;18.776,17,21,23,1,31;18.612,16.25,20.5,23,1,31;63.564,60,64,69.75,42,80;0.012,0,0,0,0,1;601.396,570,598,622.25,498,907;0,0,0,0,0,0;948880.836,945122,948634,952735,943537,954021;0,0,0,0,0,0;0,0,0,0,0,0;17.928,18,18,18,17,19
SensorMeasurementSize54NGroup12NRawSlotNum10ContentionPerRAWSlot59TrafficInterval50000;54;600;12;10;50000;0;59;7.98333333333333,6,9,11,0,18;0.171666666666667,0,0,0,0,1;600.978333333333,610,701,734,15,1174;587.18,587.75,692,726,8,792;603.388333333333,611.75,706.5,741,20,815;2.62666666666667,1,3,4,-2,10;43995.2216666667,0,8669,65996.25,0,591157;0,0,0,0,0,0;969701.803333333,966090.5,969477.5,972995.75,961485,981653;6.19833333333333,5,7,7,0,13;0,0,0,0,0,0;6.89,3,6,10,0,22
SensorMeasurementSize54NGroup4NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;54;250;4;2;50000;0;124;0.008,0,0,0,0,1;1,1,1,1,1,1;12.072,3,14.5,19,0,28;12.032,3,14.5,19,0,25;56.812,47,59,64,42,79;0.004,0,0,0,0,1;178.936,158,175,193,129,286;0,0,0,0,0,0;869145.004,859503.5,868818,878942,857569,880236;0,0,0,0,0,0;0,0,0,0,0,0;17.884,18,18,18,17,18
SensorMeasurementSize154NGroup4NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;154;250;4;2;50000;0;124;0.008,0,0,0,0,1;1,1,1,1,1,1;12.212,3.25,15,19,0,27;12.168,3.25,15,19,0,25;56.98,47,59,64,42,79;0.004,0,0,0,0,1;182.072,161,178.5,196.75,130,290;0,0,0,0,0,0;869196.424,859562.5,868872,878988,857628,880285;0,0,0,0,0,0;0,0,0,0,0,0;17.884,18,18,18,17,18
SensorMeasurementSize54NGroup16NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;54;250;16;2;50000;0;124;0.012,0,0,0,0,1;1,1,1,1,1,1;21.16,19,22,25,1,36;20.828,19,22,25,1,36;65.516,62,66,71,44,84;0.02,0,0,0,0,1;824.372,740.25,820,895.75,607,1482;0,0,0,0,0,0;959215.88,956276,958998.5,962260.75,954735,963589;0,0,0,0,0,0;0,0,0,0,0,0;17.948,18,18,18,17,19
SensorMeasurementSize54NGroup2NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;54;250;2;2;50000;0;124;0,0,0,0,0,0;1,1,1,1,1,1;8.516,2,7,14,0,25;8.452,2,7,14,0,25;52.676,45,51,59,41,77;0,0,0,0,0,0;106.216,78,104.5,126.75,49,179;0,0,0,0,0,0;847979.156,838593.5,847845.5,857347,836640,858769;0,0,0,0,0,0;0,0,0,0,0,0;12.492,9,13,17,0,18
SensorMeasurementSize154NGroup16NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;154;250;16;2;50000;0;124;0.012,0,0,0,0,1;1,1,1,1,1,1;22.88,19,23,27,0,43;22.536,19,23,26,0,42;67.26,63,68,73,43,88;0.02,0,0,0,0,1;953.38,796,902.5,1009.25,608,1866;0,0,0,0,0,0;958947.576,956025,958691,961998.75,954440,963343;0,0,0,0,0,0;0,0,0,0,0,0;17.992,18,18,18,17,20
SensorMeasurementSize154NGroup1NRawSlotNum10ContentionPerRAWSlot104TrafficInterval50000;154;1050;1;10;50000;0;104;0,0,0,0,0,0;0,0,0,0,0,0;3.83333333333333,2,3,5,0,28;3.68285714285714,2,3,5,0,14;6.03428571428571,4,5,7,2,20;-6;0,0,0,0,0,0;0,0,0,0,0,0;894607.163809524,892399,895263,897850,215,900807;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0
SensorMeasurementSize54NGroup1NRawSlotNum2ContentionPerRAWSlot124TrafficInterval50000;54;250;1;2;50000;0;124;0.004,0,0,0,0,1;1,1,1,1,1,1;5.896,1,3,10,0,21;5.888,1,3,10,0,21;49.804,44,46,55,41,73;0,0,0,0,0,0;62.532,45,56,93,17,114;0,0,0,0,0,0;770478.4,765011,770338,775802,763225,777560;0,0,0,0,0,0;0,0,0,0,0,0;13.02,9,15,18,0,18
SensorMeasurementSize54NGroup8NRawSlotNum5ContentionPerRAWSlot114TrafficInterval50000;54;575;8;5;50000;0;114;0.00695652173913044,0,0,0,0,1;1,1,1,1,1,1;27.1182608695652,20,25,33,0,259;26.3373913043478,20,24,32,0,116;73.2347826086957,64,72,80,41,167;0.00695652173913044,0,0,0,0,1;662.184347826087,416,523,783,246,4015;0,0,0,0,0,0;947302.184347826,942839,944827,949722,941225,961992;0,0,0,0,0,0;0,0,0,0,0,0;18.4191304347826,18,18,19,17,20
SensorMeasurementSize54NGroup2NRawSlotNum5ContentionPerRAWSlot114TrafficInterval50000;54;575;2;5;50000;0;114;0.00173913043478261,0,0,0,0,1;1,1,1,1,1,1;11.4695652173913,4,11,18,0,58;11.1739130434783,4,11,18,0,29;56.0330434782609,47,56,63,41,81;0.00173913043478261,0,0,0,0,1;120.589565217391,95,110,143,70,234;0,0,0,0,0,0;885157.220869565,879544,881896,883789.5,876813,905946;0,0,0,0,0,0;0,0,0,0,0,0;11.6,8,12,15,0,20
SensorMeasurementSize154NGroup8NRawSlotNum5ContentionPerRAWSlot104TrafficInterval50000;154;525;8;5;50000;0;104;1.72190476190476,0,0,0,0,12;0.862857142857143,1,1,1,0,1;193.514285714286,32,52,86,2,946;192.88380952381,31,51,85,2,946;237.045714285714,81,100,138,45,965;0.499047619047619,0,0,0,0,5;5397.78095238095,837,1642,2950,278,57775;0,0,0,0,0,0;949247.752380952,945631,947249,949545,943977,961954;1.36571428571429,0,0,0,0,10;0,0,0,0,0,0;16.3314285714286,17,18,19,4,20
SensorMeasurementSize54NGroup4NRawSlotNum1ContentionPerRAWSlot129TrafficInterval50000;54;130;4;1;50000;0;129;0.00769230769230769,0,0,0,0,1;1,1,1,1,1,1;8.23076923076923,2,7,13,0,24;8.16153846153846,2,7,13,0,24;51.0230769230769,45,50,56,42,68;0.0153846153846154,0,0,0,0,1;160.946153846154,124.25,148.5,197.25,96,250;0,0,0,0,0,0;835455.5,834940,835493,835944,833283,836938;0,0,0,0,0,0;0,0,0,0,0,0;17.9076923076923,18,18,18,17,18
